"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0006734","CE(20:2(6Z,9Z))","HMDB0006734","53477891","C01290","CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)CCC4[C@H](C)CCCC(C)C)C)C","1"
"HMDB0290203","NA","NA","NA","NA","NA","0"
"HMDB0007982","PC(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0007982","10747814","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0008048","PC(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008048","16219824","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0010395","LysoPC(20:4(5Z,8Z,11Z,14Z))","HMDB0010395","24779476","C04230","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"HMDB0290236","NA","NA","NA","NA","NA","0"
"HMDB0050003","NA","NA","NA","NA","NA","0"
"HMDB0007973","PC(16:0/18:2(9Z,12Z))","HMDB0007973","5287971","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB0285961","NA","NA","NA","NA","NA","0"
"HMDB0007988","PC(16:0/22:4(7Z,10Z,13Z,16Z))","HMDB0007988","24778732","C00157","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0011228","PC(P-16:0/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB0011228","53480697",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0008006","PC(16:1(9Z)/18:2(9Z,12Z))","HMDB0008006","24778768","C00157","CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB0286115","NA","NA","NA","NA","NA","0"
"HMDB0008045","PC(18:0/20:2(11Z,14Z))","HMDB0008045","24778847","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB0008050","PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB0008050","24778860","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0008055","PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008055","24778871","C00157","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0008105","PC(18:1(9Z)/18:2(9Z,12Z))","HMDB0008105","24778939","C00157","CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB0286327","NA","NA","NA","NA","NA","0"
"HMDB0013407","PC(o-16:0/20:4(8Z,11Z,14Z,17Z))","HMDB0013407","53481701",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"HMDB0013420","PC(o-18:0/20:4(8Z,11Z,14Z,17Z))","HMDB0013420","6443065",NA,"CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0013429","PC(o-18:1(9Z)/18:2(9Z,12Z))","HMDB0013429","6443159",NA,"CCCCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"HMDB0013432","PC(o-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))","HMDB0013432","24779379",NA,"CCCCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"HMDB0009809","PI(18:0/18:2(9Z,12Z))","HMDB0009809",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0009813","PI(18:0/20:3(5Z,8Z,11Z))","HMDB0009813",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC","1"
"HMDB0009815","PI(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB0009815",NA,"C00626","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
