"responsibleMetabolites$metNames","input","primary"
"HMDB0007982","HMDB0007982","HMDB0007982"
"HMDB0008048","HMDB0008048","HMDB0008048"
"HMDB0010395","HMDB0010395","HMDB0010395"
"HMDB0007973","HMDB0007973","HMDB0007973"
"HMDB0007988","HMDB0007988","HMDB0007988"
"HMDB0008006","HMDB0008006","HMDB0008006"
"HMDB0008045","HMDB0008045","HMDB0008045"
"HMDB0008050","HMDB0008050","HMDB0008050"
"HMDB0008055","HMDB0008055","HMDB0008055"
"HMDB0008105","HMDB0008105","HMDB0008105"
"HMDB0008994","HMDB0008994","HMDB0008994"
"HMDB0010379","HMDB0010379","HMDB0010379"
"HMDB0009003","HMDB0009003","HMDB0009003"
"HMDB0010382","HMDB0010382","HMDB0010382"
