"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3","Q8N3E9","PLCD3","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"2-acylglycerol O-acyltransferase 2","Q3SYC2","MOGAT2","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"60 kDa lysophospholipase","Q86U10","ASPG","Enzyme","HMDB0010395	 HMDB0010379	 HMDB0010382"
"85/88 kDa calcium-independent phospholipase A2","O60733","PLA2G6","Unknown","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0010379	 HMDB0009003	 HMDB0010382"
"Abhydrolase domain-containing protein 4","Q8TB40","ABHD4","Enzyme","HMDB0008994	 HMDB0009003"
"Acyl-protein thioesterase 1","O75608","LYPLA1","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0010379	 HMDB0010382"
"Acyl-protein thioesterase 2","O95372","LYPLA2","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0010379	 HMDB0010382"
"ADP-ribosylation factor GTPase-activating protein 1","Q8N6T3","ARFGAP1","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Apolipoprotein A-V","Q6Q788","APOA5","Unknown","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
"Calcium-dependent phospholipase A2","P39877","PLA2G5","Unknown","HMDB0007982	 HMDB0008048	 HMDB0010395	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105	 HMDB0008994	 HMDB0010379	 HMDB0009003	 HMDB0010382"
"Choline-phosphate cytidylyltransferase A","P49585","PCYT1A","Enzyme","HMDB0007982	 HMDB0008048	 HMDB0007973	 HMDB0007988	 HMDB0008006	 HMDB0008045	 HMDB0008050	 HMDB0008055	 HMDB0008105"
