"1_levels_fasting_insulin_blood_branchedchain","2_acute_two_risk_pancreatitis_lymphoblastic","3_triglyceride_._levels_common,_lowfrequency,","4_cardiovascular_educational_age_menarche","5_alzheimer's_cardiovascular_event","6_plasma_levels_fatty_acid_polyunsaturated","7_cholesterol_lipoprotein_levels_hdl_lipid","8_pressure_blood_pathways_influence_cardiovascular","9_levels_urate_influence_serum_individuals","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27911795_KLB is associated with alcohol drinking, and its gene product ß-Klotho is necessary for FGF21 regulation of alcohol preference._Alcohol consumption","27114598_Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia._Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)","29084231_Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study._Total triglycerides levels","26516778_Drug-Gene Interactions of Antihypertensive Medications and Risk of Incident Cardiovascular Disease: A Pharmacogenomics Study from the CHARGE Consortium._Cardiovascular disease in hypertension (calcium channel blocker interaction)","29274321_Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages._Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia","31551469_Genetic architecture of human plasma lipidome and its link to cardiovascular disease._Cholesteryl ester levels","30369316_Variants at the APOE /C1/C2/C4 Locus Modulate Cholesterol Efflux Capacity Independently of High-Density Lipoprotein Cholesterol._Cholesterol efflux capacity","21909110_Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure._Blood pressure","20884846_Multiple genetic loci influence serum urate levels and their relationship with gout and cardiovascular disease risk factors._Urate levels","30111768_Genome-wide mapping of plasma protein QTLs identifies putatively causal genes and pathways for cardiovascular disease._Blood protein levels","30595370_Leveraging Polygenic Functional Enrichment to Improve GWAS Power._Cardiovascular disease","21943158_Genetic variants in LPL, OASL and TOMM40/APOE-C1-C2-C4 genes are associated with multiple cardiovascular-related traits._Cardiovascular disease risk factors","20838585_Longitudinal genome-wide association of cardiovascular disease risk factors in the Bogalusa heart study._Cardiovascular risk factors","30940143_Genetic overlap of chronic obstructive pulmonary disease and cardiovascular disease-related traits: a large-scale genome-wide cross-trait analysis._Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)","30940143_Genetic overlap of chronic obstructive pulmonary disease and cardiovascular disease-related traits: a large-scale genome-wide cross-trait analysis._Chronic obstructive pulmonary disease or resting heart rate (pleiotropy)","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Diarrhoea in darapladib-treated cardiovascular disease (time to event)","21757653_Assessment of genetic determinants of the association of <U+03B3>' fibrinogen in relation to cardiovascular disease._Fibrinogen","23969696_Multiethnic meta-analysis of genome-wide association studies in >100 000 subjects identifies 23 fibrinogen-associated Loci but no strong evidence of a causal association between circulating fibrinogen and cardiovascular disease._Fibrinogen","31070471_Group IIA Secretory Phospholipase A2 and Incident Cardiovascular Disease._group IIA secretory phospholipase A2 levels in individuals with elevated hsCRP","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Lipoprotein phospholipase A2 activity in cardiovascular disease","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","26920376_Genetic overlap between multiple sclerosis and several cardiovascular disease risk factors._Multiple sclerosis and C-reactive protein levels (pleiotropy)","26920376_Genetic overlap between multiple sclerosis and several cardiovascular disease risk factors._Multiple sclerosis and HDL levels (pleiotropy)","26920376_Genetic overlap between multiple sclerosis and several cardiovascular disease risk factors._Multiple sclerosis and LDL levels (pleiotropy)","26920376_Genetic overlap between multiple sclerosis and several cardiovascular disease risk factors._Multiple sclerosis and triglyceride levels (pleiotropy)","29563342_Untargeted metabolomics identifies trimethyllysine, a TMAO-producing nutrient precursor, as a predictor of incident cardiovascular disease risk._Plasma trimethyllysine levels"
"29615537_Strong impact of natural-selection-free heterogeneity in genetics of age-related phenotypes._Blood glucose levels","28049566_An Analysis of Two Genome-wide Association Meta-analyses Identifies a New Locus for Broad Depression Phenotype._Depressive symptom measurement or major depressive disorder","31551469_Genetic architecture of human plasma lipidome and its link to cardiovascular disease._Triglyceride levels","23722424_GWAS of 126,559 individuals identifies genetic variants associated with educational attainment._Educational attainment (years of education)","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Major coronary event in darapladib-treated cardiovascular disease (time to event)","29246731_A common variant in ARHGEF10 alters delta-6 desaturase activity and influence susceptibility to hypertriglyceridemia._Delta-5 desaturase activity response to n3-polyunsaturated fat supplement","26160806_Contribution of Rare and Common Genetic Variants to Plasma Lipid Levels and Carotid Stiffness and Geometry: A Substudy of the Paris Prospective Study 3._HDL cholesterol","21909115_Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk._Diastolic blood pressure","25811787_Modulation of genetic associations with serum urate levels by body-mass-index in humans._Urate levels in overweight individuals",,,,,,,,,,,,,,,,,,,
"27898682_Genetic Predisposition to an Impaired Metabolism of the Branched-Chain Amino Acids and Risk of Type 2 Diabetes: A Mendelian Randomisation Analysis._Branched-chain amino acid levels (Leucine)","27560520_Genome-Wide Association Study Reveals Multiple Loci Influencing Normal Human Facial Morphology._Lip morphology","29084231_Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study._Triglyceride levels in small VLDL","23667675_Genome wide association study of age at menarche in the Japanese population._Menarche (age at onset)",,"30453627_Genome-Wide Association Studies of Estimated Fatty Acid Desaturase Activity in Serum and Adipose Tissue in Elderly Individuals: Associations with Insulin Sensitivity._Fatty acid desaturase activity (serum)","26582766_Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations._HDL cholesterol","21909115_Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk._Hypertension","19503597_Meta-analysis of 28,141 individuals identifies common variants within five new loci that influence uric acid concentrations._Uric acid levels",,,,,,,,,,,,,,,,,,,
"27898682_Genetic Predisposition to an Impaired Metabolism of the Branched-Chain Amino Acids and Risk of Type 2 Diabetes: A Mendelian Randomisation Analysis._Branched-chain amino acid levels (Valine)","29095316_Genome-wide association study for genetic variants related with maximal voluntary ventilation reveals two novel genomic signals associated with lung function._Lung function (maximal voluntary ventilation)","28046027_Genome-Wide Association Study Reveals Four Loci for Lipid Ratios in the Korean Population and the Constitutional Subgroup._Triglyceride to HDL cholesterol ratio",,,"26068415_Genome-wide association study identifies novel genetic variants contributing to variation in blood metabolite levels._Glycerophospholipid levels","21347282_Genome-wide association study of coronary heart disease and its risk factors in 8,090 African Americans: the NHLBI CARe Project._HDL cholesterol","21909115_Genetic variants in novel pathways influence blood pressure and cardiovascular disease risk._Systolic blood pressure",,,,,,,,,,,,,,,,,,,,
"22581228_A genome-wide approach accounting for body mass index identifies genetic variants influencing fasting glycemic traits and insulin resistance._Fasting blood insulin","28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Major coronary event in placebo-treated cardiovascular disease (time to event)",,,,"25194280_Genome-wide association study identifies three susceptibility loci for laryngeal squamous cell carcinoma in the Chinese population._Laryngeal squamous cell carcinoma","26780889_Meta-analysis of lipid-traits in Hispanics identifies novel loci, population-specific effects, and tissue-specific enrichment of eQTLs._HDL cholesterol",,,,,,,,,,,,,,,,,,,,,
"31217584_Genetic analyses of diverse populations improves discovery for complex traits._Fasting blood insulin","30678657_Genome-wide association study of myocardial infarction, atrial fibrillation, acute stroke, acute kidney injury and delirium after cardiac surgery - a sub-analysis of the RIPHeart-Study._Postoperative myocardial infarction after cardiac surgery",,,,"27005778_Genome-wide study for circulating metabolites identifies 62 loci and reveals novel systemic effects of LPA._Metabolite levels (lipid measures)","18193044_Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans._HDL cholesterol",,,,,,,,,,,,,,,,,,,,,
"20081858_New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk._Fasting blood insulin",,,,,"31560688_Using metabolite profiling to construct and validate a metabolite risk score for predicting future weight gain._Metabolite risk score for predicting weight gain","31551469_Genetic architecture of human plasma lipidome and its link to cardiovascular disease._High density lipoprotein cholesterol levels",,,,,,,,,,,,,,,,,,,,,
"20081858_New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk._Homeostasis model assessment of insulin resistance",,,,,"31551469_Genetic architecture of human plasma lipidome and its link to cardiovascular disease._Phosphatidylcholine-ether levels","31211820_Genome-wide association analysis of HDL-C in a Lebanese cohort._High density lipoprotein cholesterol levels",,,,,,,,,,,,,,,,,,,,,
"27599772_A common variant association study in ethnic Saudi Arabs reveals novel susceptibility loci for hypertriglyceridemia._Hypertriglyceridemia",,,,,"31551469_Genetic architecture of human plasma lipidome and its link to cardiovascular disease._Phosphatidylcholine levels","30718733_The Korea Biobank Array: Design and Identification of Coding Variants Associated with Blood Biochemical Traits._High density lipoprotein cholesterol levels",,,,,,,,,,,,,,,,,,,,,
"18179892_Genome-wide association study identifies genes for biomarkers of cardiovascular disease: serum urate and dyslipidemia._LDL cholesterol",,,,,"31551469_Genetic architecture of human plasma lipidome and its link to cardiovascular disease._Phosphatidylethanolamine-ether levels","21386085_A bivariate genome-wide approach to metabolic syndrome: STAMPEED consortium._Metabolic syndrome (bivariate traits)",,,,,,,,,,,,,,,,,,,,,
