Query,Match,HMDB,PubChem,KEGG,SMILES,Comment
HMDB0000640,Levoglucosan,HMDB0000640,2724705,NA,C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,1
HMDB0000699,1-Methylnicotinamide,HMDB0000699,457,C02918,C[N+]1=CC=CC(=C1)C(=O)N,1
HMDB0000729,Alpha-Hydroxyisobutyric acid,HMDB0000729,11671,NA,CC(C)(C(=O)O)O,1
HMDB0003911,3-Aminoisobutanoic acid,HMDB0003911,64956,C05145,CC(CN)C(=O)O,1
HMDB0000750,3-Hydroxymandelic acid,HMDB0000750,86957,NA,C1=CC(=CC(=C1)O)C(C(=O)O)O,1
HMDB0000682,Indoxyl sulfate,HMDB0000682,10258,NA,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,1
HMDB0000020,p-Hydroxyphenylacetic acid,HMDB0000020,127,C00642,C1=CC(=CC=C1CC(=O)O)O,1
HMDB0000042,Acetic acid,HMDB0000042,176,C00033,CC(=O)O,1
HMDB0000161,L-Alanine,HMDB0000161,5950,C00041,C[C@@H](C(=O)O)N,1
HMDB0000517,L-Arginine,HMDB0000517,6322,C00062,C(C[C@@H](C(=O)O)N)CN=C(N)N,1
HMDB0000168,L-Asparagine,HMDB0000168,6267,C00152,C([C@@H](C(=O)O)N)C(=O)N,1
HMDB0000043,Betaine,HMDB0000043,247,C00719,C[N+](C)(C)CC(=O)[O-],1
HMDB0001467,NA,NA,NA,NA,NA,0
HMDB0000097,Choline,HMDB0000097,305,C00114,C[N+](C)(C)CCO,1
HMDB0000072,cis-Aconitic acid,HMDB0000072,643757,C00417,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,1
HMDB0000094,Citric acid,HMDB0000094,311,C00158,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1
HMDB0000064,Creatine,HMDB0000064,586,C00300,CN(CC(=O)O)C(=N)N,1
HMDB0000562,Creatinine,HMDB0000562,588,C00791,CN1CC(=O)N=C1N,1
HMDB0000087,Dimethylamine,HMDB0000087,674,C00543,CNC,1
HMDB0000108,Ethanol,HMDB0000108,702,C00469,CCO,1
HMDB0000149,Ethanolamine,HMDB0000149,700,C00189,C(CO)N,1
HMDB0000142,Formic acid,HMDB0000142,284,C00058,C(=O)O,1
HMDB0000122,D-Glucose,HMDB0000122,5793,C00031,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,1
HMDB0000641,L-Glutamine,HMDB0000641,5961,C00064,C(CC(=O)N)[C@@H](C(=O)O)N,1
HMDB0000123,Glycine,HMDB0000123,750,C00037,C(C(=O)O)N,1
HMDB0000115,Glycolic acid,HMDB0000115,757,C03547,C(C(=O)O)O,1
HMDB0000714,Hippuric acid,HMDB0000714,464,C01586,C1=CC=C(C=C1)C(=O)NCC(=O)O,1
HMDB0000177,L-Histidine,HMDB0000177,6274,C00135,C1=C(NC=N1)C[C@@H](C(=O)O)N,1
HMDB0000157,Hypoxanthine,HMDB0000157,790,C00262,C1=NC2=C(N1)C(=O)N=CN2,1
HMDB0000863,Isopropyl alcohol,HMDB0000863,3776,C01845,CC(C)O,1
HMDB0000190,L-Lactic acid,HMDB0000190,61503,C00256,C[C@@H](C(=O)O)O,1
HMDB0000182,L-Lysine,HMDB0000182,5962,C00047,C(CCN)C[C@@H](C(=O)O)N,1
HMDB0000765,Mannitol,HMDB0000765,6251,C00392,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,1
HMDB0001875,Methanol,HMDB0001875,887,C00132,CO,1
HMDB0000164,Methylamine,HMDB0000164,6329,C00218,CN,1
HMDB0000092,Dimethylglycine,HMDB0000092,673,C01026,CN(C)CC(=O)O,1
HMDB0000201,L-Acetylcarnitine,HMDB0000201,7045767,C02571,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,1
HMDB0001565,Phosphorylcholine,HMDB0001565,8691,C00588,C[N+](C)(C)CCOP(=O)(O)O,1
HMDB0000001,1-Methylhistidine,HMDB0000001,92105,C01152,CN1C=C(N=C1)C[C@@H](C(=O)O)N,1
HMDB0001881,Propylene glycol,HMDB0001881,1030,C00583,CC(CO)O,1
HMDB0000267,Pyroglutamic acid,HMDB0000267,7405,C01879,C1CC(=O)N[C@@H]1C(=O)O,1
HMDB0000234,Testosterone,HMDB0000234,6013,C00535,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,1
HMDB0000254,Succinic acid,HMDB0000254,1110,C00042,C(CC(=O)O)C(=O)O,1
HMDB0000258,Sucrose,HMDB0000258,5988,C00089,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,1
HMDB0000479,3-Methylhistidine,HMDB0000479,64969,C01152,CN1C=NC=C1C[C@@H](C(=O)O)N,1
HMDB0000251,Taurine,HMDB0000251,1123,C00245,C(CS(=O)(=O)O)N,1
HMDB0000167,L-Threonine,HMDB0000167,6288,C00188,C[C@H]([C@@H](C(=O)O)N)O,1
HMDB0000958,trans-Aconitic acid,HMDB0000958,444212,C02341,C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,1
HMDB0000875,Trigonelline,HMDB0000875,5570,C01004,C[N+]1=CC=CC(=C1)C(=O)[O-],1
HMDB0000906,Trimethylamine,HMDB0000906,1146,C00565,CN(C)C,1
HMDB0000925,Trimethylamine N-oxide,HMDB0000925,1145,C01104,C[N+](C)(C)[O-],1
HMDB0000158,L-Tyrosine,HMDB0000158,6057,C00082,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,1
HMDB0000300,Uracil,HMDB0000300,1174,C00106,C1=CNC(=O)NC1=O,1
HMDB0000294,Urea,HMDB0000294,2447,C00086,C(=O)(N)N,1
HMDB0000883,L-Valine,HMDB0000883,6287,C00183,CC(C)[C@@H](C(=O)O)N,1
HMDB0000098,D-Xylose,HMDB0000098,135191,C00181,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,1
