"cluster","name","total_nodes","primary_hits","perc_of_c","perc_of_primary"
1,"1_acute_two_risk_pancreatitis_lymphoblastic",6,1,16.6666666666667,1.69491525423729
2,"2_alcohol_aldh2_associated_dependence_major",5,1,20,1.69491525423729
3,"3_rapid_naming_alternating_stimulus_multivariate",4,1,25,1.69491525423729
4,"4_childhood_acute_lymphoblastic_leukemia_neutropenia/leucopenia",4,1,25,1.69491525423729
5,"5_alzheimer's_type_1",3,1,33.3333333333333,1.69491525423729
6,"6_type_2_diabetes_dna_methylation",3,1,33.3333333333333,1.69491525423729
7,"7_skin_acute_kidney_injury_coronary",3,1,33.3333333333333,1.69491525423729
8,"8_renal_type_1_stage",2,1,50,1.69491525423729
9,"9_bipolar",2,1,50,1.69491525423729
10,"10_type_2_diabetic_kidney_subjects",2,2,100,3.38983050847458
11,"11_kidney_interaction_dust_mite_allergen",2,1,50,1.69491525423729
12,"12_brain",2,1,50,1.69491525423729
13,"13_uric_acid_serum_levels_gout",5,2,40,3.38983050847458
14,"14_multiple_functionrelated_traits_renal_gout",2,1,50,1.69491525423729
15,"15_blood_pressure_smoking_diastolic_genetics",5,1,20,1.69491525423729
16,"16_hyperuricemia_identification_cdc42bpg_susceptibility_japanese",3,1,33.3333333333333,1.69491525423729
17,"17_metabolite",2,1,50,1.69491525423729
18,"18_acute_kidney",1,1,100,1.69491525423729
19,"19",1,1,100,1.69491525423729
20,"20_kidney",1,1,100,1.69491525423729
21,"21_kidney",1,1,100,1.69491525423729
22,"22_renal_chronic_kidney",1,1,100,1.69491525423729
23,"23_kidney_chronic",1,1,100,1.69491525423729
24,"24_kidney_diabetic_type_2",1,1,100,1.69491525423729
25,"25_kidney",1,1,100,1.69491525423729
26,"26",1,1,100,1.69491525423729
27,"27_diabetic_kidney",1,1,100,1.69491525423729
28,"28_diabetic_kidney_esrd",1,1,100,1.69491525423729
29,"29_diabetic_kidney_type_2",1,1,100,1.69491525423729
30,"30",1,1,100,1.69491525423729
31,"31",1,1,100,1.69491525423729
32,"32",1,1,100,1.69491525423729
33,"33_metabolites",1,1,100,1.69491525423729
34,"34",1,1,100,1.69491525423729
35,"35",1,1,100,1.69491525423729
36,"36",1,1,100,1.69491525423729
37,"37_renal_chronic_kidney",1,1,100,1.69491525423729
38,"38",1,1,100,1.69491525423729
39,"39_glycated_hemoglobin",1,1,100,1.69491525423729
40,"40_risk_chronic_kidney",1,1,100,1.69491525423729
41,"41_kidney_function_decline",1,1,100,1.69491525423729
42,"42_kidney_stones",1,1,100,1.69491525423729
43,"43_kidney_stones",1,1,100,1.69491525423729
44,"44_chronic_kidney",1,1,100,1.69491525423729
45,"45_acute_cardiac_surgery",1,1,100,1.69491525423729
46,"46_acute_cardiac_surgery",1,1,100,1.69491525423729
47,"47_acute_cardiac_surgery",1,1,100,1.69491525423729
48,"48_renal_chronic_kidney",1,1,100,1.69491525423729
49,"49_renal_chronic_kidney",1,1,100,1.69491525423729
50,"50_blood_pressure",1,1,100,1.69491525423729
51,"51_functionrelated_traits",1,1,100,1.69491525423729
52,"52_functionrelated_traits",1,1,100,1.69491525423729
53,"53",1,1,100,1.69491525423729
54,"54_blood_pressure",1,1,100,1.69491525423729
55,"55",1,1,100,1.69491525423729
56,"56",1,1,100,1.69491525423729
57,"57",1,1,100,1.69491525423729
