"nodes","hitType"
"26083657_Genome-wide association study of acute kidney injury after coronary bypass graft surgery identifies susceptibility loci._Acute kidney injury in coronary artery bypass surgery (creatinine rise)",1
"27576016_A Genome-Wide Association Study to Identify Single-Nucleotide Polymorphisms for Acute Kidney Injury._Acute kidney injury in critical illness",1
"31152163_A catalog of genetic loci associated with kidney function from analyses of a million individuals._Blood urea nitrogen levels",1
"31152163_A catalog of genetic loci associated with kidney function from analyses of a million individuals._Chronic kidney disease",1
"26831199_Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function._Chronic kidney disease",1
"26420894_Genetic loci associated with renal function measures and chronic kidney disease in children: the Pediatric Investigation for Genetic Factors Linked with Renal Progression Consortium._Chronic kidney disease",1
"29124443_Identification of CDC42BPG as a novel susceptibility locus for hyperuricemia in a Japanese population._Chronic kidney disease",1
"20383146_New loci associated with kidney function and chronic kidney disease._Chronic kidney disease",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._Chronic kidney disease and diabetic kidney disease in type 2 diabetes",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._Chronic kidney disease in type 2 diabetes",1
"20383145_Genetic loci influencing kidney function and chronic kidney disease._Creatinine levels",1
"31015462_Sex-specific and pleiotropic effects underlying kidney function identified from GWAS meta-analysis._Creatinine levels",1
"26305897_Genome-Wide Association and Trans-ethnic Meta-Analysis for Advanced Diabetic Kidney Disease: Family Investigation of Nephropathy and Diabetes (FIND)._Diabetic kidney disease",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._Diabetic kidney disease in diabetes (ESRD vs. no ESRD)",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._Diabetic kidney disease in type 2 diabetes",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._Diabetic kidney disease in type 2 diabetes (ESRD vs. no ESRD)",1
"28739976_Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney._Diastolic blood pressure",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._Early diabetic kidney disease in diabetes",1
"31178898_Genetics of Chronic Kidney Disease Stages Across Ancestries: The PAGE Study._End-stage kidney disease",1
"29703844_A Genome-Wide Association Study of Diabetic Kidney Disease in Subjects With Type 2 Diabetes._End-stage renal disease in type 2 diabetes",1
"29885931_Genome-wide association studies suggest that APOL1-environment interactions more likely trigger kidney disease in African Americans with nondiabetic nephropathy than strong APOL1-second gene interactions._End stage renal disease in APOL1 risk genotype-negative individuals",1
"31152163_A catalog of genetic loci associated with kidney function from analyses of a million individuals._Estimated glomerular filtration rate",1
"31015462_Sex-specific and pleiotropic effects underlying kidney function identified from GWAS meta-analysis._Estimated glomerular filtration rate",1
"30604766_Trans-ethnic kidney function association study reveals putative causal genes and effects on kidney-specific disease aetiologies._Estimated glomerular filtration rate",1
"30809046_Genome-wide association study suggests impact of chromosome 10 rs139401390 on kidney function in patients with coronary artery disease._Estimated glomerular filtration rate in coronary artery disease and impaired kidney function",1
"29545352_Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms._Fractional excretion of metabolites in chronic kidney disease",1
"24351856_An integrative study of the genetic, social and environmental determinants of chronic kidney disease characterized by tubulointerstitial damages in the North Central Region of Sri Lanka._Glomerular filtration rate",1
"27588450_Trans-ethnic Fine Mapping Highlights Kidney-Function Genes Linked to Salt Sensitivity._Glomerular filtration rate",1
"28452372_1000 Genomes-based meta-analysis identifies 10 novel loci for kidney function._Glomerular filtration rate (creatinine)",1
"26831199_Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function._Glomerular filtration rate (creatinine)",1
"26420894_Genetic loci associated with renal function measures and chronic kidney disease in children: the Pediatric Investigation for Genetic Factors Linked with Renal Progression Consortium._Glomerular filtration rate in chronic kidney disease",1
"26831199_Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function._Glomerular filtration rate in non diabetics (creatinine)",1
"24244560_A study assessing the association of glycated hemoglobin A1C (HbA1C) associated variants with HbA1C, chronic kidney disease and diabetic retinopathy in populations of Asian ancestry._Glycated hemoglobin levels",1
"30955190_Genetic risk score raises the risk of incidence of chronic kidney disease in Korean general population-based cohort._Incident chronic kidney disease",1
"27647854_The Genetic Landscape of Renal Complications in Type 1 Diabetes._Kidney disease (end stage renal disease vs non-end stage renal disease) in type 1 diabetes",1
"25493955_Genome-wide association study of kidney function decline in individuals of European descent._Kidney function decline traits",1
"26272126_Common and rare variants associated with kidney stones and biochemical traits._Kidney stones",1
"19561606_Sequence variants in the CLDN14 gene associate with kidney stones and bone mineral density._Kidney stones",1
"31178898_Genetics of Chronic Kidney Disease Stages Across Ancestries: The PAGE Study._Mild to moderate chronic kidney disease",1
"30678657_Genome-wide association study of myocardial infarction, atrial fibrillation, acute stroke, acute kidney injury and delirium after cardiac surgery - a sub-analysis of the RIPHeart-Study._Postoperative acute renal failure after cardiac surgery",1
"30678657_Genome-wide association study of myocardial infarction, atrial fibrillation, acute stroke, acute kidney injury and delirium after cardiac surgery - a sub-analysis of the RIPHeart-Study._Postoperative complication after cardiac surgery",1
"30678657_Genome-wide association study of myocardial infarction, atrial fibrillation, acute stroke, acute kidney injury and delirium after cardiac surgery - a sub-analysis of the RIPHeart-Study._Postoperative myocardial infarction after cardiac surgery",1
"30678657_Genome-wide association study of myocardial infarction, atrial fibrillation, acute stroke, acute kidney injury and delirium after cardiac surgery - a sub-analysis of the RIPHeart-Study._Postoperative stroke after cardiac surgery",1
"26420894_Genetic loci associated with renal function measures and chronic kidney disease in children: the Pediatric Investigation for Genetic Factors Linked with Renal Progression Consortium._Proteinuria and chronic kidney disease",1
"26420894_Genetic loci associated with renal function measures and chronic kidney disease in children: the Pediatric Investigation for Genetic Factors Linked with Renal Progression Consortium._Proteinuria in chronic kidney disease",1
"28739976_Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney._Pulse pressure",1
"22797727_Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations._Renal function-related traits (BUN)",1
"22797727_Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations._Renal function-related traits (eGRFcrea)",1
"22797727_Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations._Renal function-related traits (sCR)",1
"22797727_Meta-analysis identifies multiple loci associated with kidney function-related traits in east Asian populations._Renal function-related traits (urea)",1
"29545352_Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms._Serum metabolite concentrations in chronic kidney disease",1
"29545352_Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms._Serum metabolite ratios in chronic kidney disease",1
"30181573_Genetics of serum urate concentrations and gout in a high-risk population, patients with chronic kidney disease._Serum urate levels in chronic kidney disease",1
"28739976_Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney._Systolic blood pressure",1
"17903292_A genome-wide association for kidney function and endocrine-related traits in the NHLBI's Framingham Heart Study._Thyroid stimulating hormone levels",1
"23028342_New susceptibility loci associated with kidney disease in type 1 diabetes._Type 1 diabetes nephropathy",1
"29558500_Genome-wide association analysis identifies multiple loci associated with kidney disease-related traits in Korean populations._Uric acid levels",1
"29545352_Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms._Urinary metabolite concentrations in chronic kidney disease",1
"29545352_Genome-Wide Association Studies of Metabolites in Patients with CKD Identify Multiple Loci and Illuminate Tubular Transport Mechanisms._Urinary metabolite ratios in chronic kidney disease",1
"26423011_Novel insights into the genetics of smoking behaviour, lung function, and chronic obstructive pulmonary disease (UK BiLEVE): a genetic association study in UK Biobank._Lung function in never smokers (high FEV1 vs average FEV1)",2
"27207532_New Locus for Skin Intrinsic Fluorescence in Type 1 Diabetes Also Associated With Blood and Skin Glycated Proteins._Skin fluorescence in type 1 diabetes",2
"29124443_Identification of CDC42BPG as a novel susceptibility locus for hyperuricemia in a Japanese population._Estimated glomerular filtration rate",2
"29124443_Identification of CDC42BPG as a novel susceptibility locus for hyperuricemia in a Japanese population._Hyperuricemia",2
"27694927_A genome-wide association study identifies risk loci for childhood acute lymphoblastic leukemia at 10q26.13 and 12q23.1._Acute lymphoblastic leukemia in childhood (B cell precursor)",2
"23648065_Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan._Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)",2
"30920136_The impact of donor and recipient common clinical and genetic variation on estimated glomerular filtration rate in a European renal transplant population._Estimated glomerular filtration rate change in renal transplantation (recipient effect)",2
"27618452_The genetics of blood pressure regulation and its target organs from association studies in 342,415 individuals._Diastolic blood pressure",2
"29455858_A Large-Scale Multi-ancestry Genome-wide Study Accounting for Smoking Behavior Identifies Multiple Significant Loci for Blood Pressure._Diastolic blood pressure (cigarette smoking interaction)",2
"27618452_The genetics of blood pressure regulation and its target organs from association studies in 342,415 individuals._Systolic blood pressure",2
"29455858_A Large-Scale Multi-ancestry Genome-wide Study Accounting for Smoking Behavior Identifies Multiple Significant Loci for Blood Pressure._Systolic blood pressure (cigarette smoking interaction)",2
"23725790_GWAS of DNA methylation variation within imprinting control regions suggests parent-of-origin association._DNA methylation (parent-of-origin)",2
"29691896_Genome-wide interaction with the insulin secretion locus MTNR1B reveals CMIP as a novel type 2 diabetes susceptibility gene in African Americans._Type 2 diabetes (SNP x SNP interaction, 1df)",2
"28167095_Genome-wide interaction study of dust mite allergen on lung function in children with asthma._Lung function (FEV1/FVC) in asthma (dust mite allergen exposure interaction)",2
"26297903_Genetics of long-term treatment outcome in bipolar disorder._Depressive and manic episodes in bipolar disorder",2
"30995994_Multivariate genome-wide association study of rapid automatised naming and rapid alternating stimulus in Hispanic American and African-American youth._Rapid alternating stimulus test for letters/numbers",2
"30995994_Multivariate genome-wide association study of rapid automatised naming and rapid alternating stimulus in Hispanic American and African-American youth._Rapid automised naming and rapid alternating stimulus test performance",2
