"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"17-beta-hydroxysteroid dehydrogenase type 6","O14756","HSD17B6","Unknown","HMDB0000254"
"4-aminobutyrate aminotransferase, mitochondrial","P80404","ABAT","Enzyme","HMDB0000161"
"5-phosphohydroxy-L-lysine phospho-lyase","Q8IUZ5","PHYKPL","Enzyme","HMDB0000161"
"60 kDa lysophospholipase","Q86U10","ASPG","Enzyme","HMDB0000168"
"Aconitate hydratase, mitochondrial","Q99798","ACO2","Enzyme","HMDB0000094"
"Adenine phosphoribosyltransferase","P07741","APRT","Enzyme","HMDB0000094"
"Alanine--glyoxylate aminotransferase 2, mitochondrial","Q9BYV1","AGXT2","Enzyme","HMDB0000161"
"Alanine--tRNA ligase, cytoplasmic","P49588","AARS1","Enzyme","HMDB0000161"
"Alanine--tRNA ligase, mitochondrial","Q5JTZ9","AARS2","Enzyme","HMDB0000161"
"Alanine aminotransferase 1","P24298","GPT","Enzyme","HMDB0000161"
"Alanine aminotransferase 2","Q8TD30","GPT2","Enzyme","HMDB0000161"
"Aldose reductase","P15121","AKR1B1","Unknown","HMDB0000094"
"Alkylated DNA repair protein alkB homolog 1","Q13686","ALKBH1","Unknown","HMDB0000254"
"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2","Q6NS38","ALKBH2","Unknown","HMDB0000254"
"Amidophosphoribosyltransferase","Q06203","PPAT","Unknown","HMDB0000641"
"Angiogenin","P03950","ANG","Enzyme","HMDB0000094"
"Asparagine--tRNA ligase, cytoplasmic","O43776","NARS1","Enzyme","HMDB0000168"
"Asparagine synthetase [glutamine-hydrolyzing]","P08243","ASNS","Enzyme","HMDB0000168	 HMDB0000641"
"Aspartyl/asparaginyl beta-hydroxylase","Q12797","ASPH","Unknown","HMDB0000254"
"ATP-citrate synthase","P53396","ACLY","Enzyme","HMDB0000094"
"Beta-Ala-His dipeptidase","Q96KN2","CNDP1","Unknown","HMDB0000094"
"Beta-citryl-glutamate synthase B","Q9ULI2","RIMKLB","Unknown","HMDB0000094"
"Betaine--homocysteine S-methyltransferase 1","Q93088","BHMT","Unknown","HMDB0000094"
"Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA","Q8IUF8","RIOX2","Unknown","HMDB0000254"
"Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66","Q9H6W3","RIOX1","Unknown","HMDB0000254"
"CAD protein","P27708","CAD","Unknown","HMDB0000641"
"Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1","Q9GZU7","CTDSP1","Enzyme","HMDB0000094"
"Carboxypeptidase B","P15086","CPB1","Enzyme","HMDB0000094"
"cGMP-specific 3',5'-cyclic phosphodiesterase","O76074","PDE5A","Unknown","HMDB0000094"
"Citrate lyase subunit beta-like protein, mitochondrial","Q8N0X4","CLYBL","Unknown","HMDB0000094"
"Citrate synthase, mitochondrial","O75390","CS","Enzyme","HMDB0000094"
"Coagulation factor XIII A chain","P00488","F13A1","Unknown","HMDB0000641"
"CTP synthase 1","P17812","CTPS1","Unknown","HMDB0000641"
"CTP synthase 2","Q9NRF8","CTPS2","Enzyme","HMDB0000641"
"Cysteine desulfurase, mitochondrial","Q9Y697","NFS1","Unknown","HMDB0000161"
"Cytoplasmic aconitate hydratase","P21399","ACO1","Unknown","HMDB0000094"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","P39656","DDOST","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","P04843","RPN1","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","P04844","RPN2","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","P61803","DAD1","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","P46977","STT3A","Enzyme","HMDB0000168"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B","Q8TCJ2","STT3B","Enzyme","HMDB0000168"
"Egl nine homolog 1","Q9GZT9","EGLN1","Enzyme","HMDB0000254"
"Egl nine homolog 2","Q96KS0","EGLN2","Enzyme","HMDB0000254"
"Egl nine homolog 3","Q9H6Z9","EGLN3","Enzyme","HMDB0000254"
"Eosinophil cationic protein precursor","P12724","RNASE3","Enzyme","HMDB0000094"
"Gamma-butyrobetaine dioxygenase","O75936","BBOX1","Unknown","HMDB0000254"
"Glutaminase kidney isoform, mitochondrial","O94925","GLS","Enzyme","HMDB0000641"
"Glutaminase liver isoform, mitochondrial","Q9UI32","GLS2","Enzyme","HMDB0000641"
"Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1","Q06210","GFPT1","Enzyme","HMDB0000641"
"Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2","O94808","GFPT2","Enzyme","HMDB0000641"
"Glutamine--tRNA ligase","P47897","QARS1","Enzyme","HMDB0000641"
"Glutamine-dependent NAD(+) synthetase","Q6IA69","NADSYN1","Unknown","HMDB0000641"
"Glutamine synthetase","P15104","GLUL","Enzyme","HMDB0000641"
"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial","Q9H0R6","QRSL1","Enzyme","HMDB0000641"
"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial","O75879","GATB","Enzyme","HMDB0000641"
"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial","O43716","GATC","Unknown","HMDB0000641"
"Glycine N-acyltransferase-like protein 1","Q969I3","GLYATL1","Enzyme","HMDB0000641"
"Glycine N-methyltransferase","Q14749","GNMT","Unknown","HMDB0000094"
"GMP synthase [glutamine-hydrolyzing]","P49915","GMPS","Unknown","HMDB0000641"
"Heparan sulfate glucosamine 3-O-sulfotransferase 3A1","Q9Y663","HS3ST3A1","Enzyme","HMDB0000094"
"Histone lysine demethylase PHF8","Q9UPP1","PHF8","Unknown","HMDB0000254"
"Hypoxia-inducible factor 1-alpha inhibitor","Q9NWT6","HIF1AN","Unknown","HMDB0000254"
"Inosine triphosphate pyrophosphatase","Q9BY32","ITPA","Unknown","HMDB0000094"
"Isoaspartyl peptidase/L-asparaginase","Q7L266","ASRGL1","Enzyme","HMDB0000168"
"Kynureninase","Q16719","KYNU","Unknown","HMDB0000161"
"Kynurenine--oxoglutarate transaminase 1","Q16773","KYAT1","Enzyme","HMDB0000641"
"L-amino-acid oxidase","Q96RQ9","IL4I1","Unknown","HMDB0000094"
"Large neutral amino acids transporter small subunit 2","Q9UHI5","SLC7A8","Transporter","HMDB0000161	 HMDB0000641"
"Lysine-specific demethylase 2A","Q9Y2K7","KDM2A","Enzyme","HMDB0000254"
"Lysine-specific demethylase 2B","Q8NHM5","KDM2B","Enzyme","HMDB0000254"
"Lysine-specific demethylase 8","Q8N371","KDM8","Unknown","HMDB0000254"
"Macrophage migration inhibitory factor","P14174","MIF","Enzyme","HMDB0000094"
"Malate dehydrogenase, mitochondrial","P40926","MDH2","Unknown","HMDB0000094"
"Methylcytosine dioxygenase TET1","Q8NFU7","TET1","Unknown","HMDB0000254"
"Methylcytosine dioxygenase TET2","Q6N021","TET2","Unknown","HMDB0000254"
"Methylcytosine dioxygenase TET3","O43151","TET3","Unknown","HMDB0000254"
"Mitochondrial dicarboxylate carrier","Q9UBX3","SLC25A10","Enzyme","HMDB0000254"
"Molybdenum cofactor sulfurase","Q96EN8","MOCOS","Enzyme","HMDB0000161"
"Monocarboxylate transporter 10","Q8TF71","SLC16A10","Transporter","HMDB0000161	 HMDB0000641"
"N-acetylmuramoyl-L-alanine amidase","Q96PD5","PGLYRP2","Unknown","HMDB0000161"
"Neutral amino acid transporter A","P43007","SLC1A4","Unknown","HMDB0000161"
"Neutral amino acid transporter B(0)","Q15758","SLC1A5","Transporter","HMDB0000168	 HMDB0000641"
