"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"[Protein ADP-ribosylarginine] hydrolase","P54922","ADPRH","Enzyme","HMDB0000517"
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial","O75600","GCAT","Enzyme","HMDB0000123"
"4-aminobutyrate aminotransferase, mitochondrial","P80404","ABAT","Enzyme","HMDB0000161"
"4F2 cell-surface antigen heavy chain","P08195","SLC3A2","Unknown","HMDB0000517"
"5-aminolevulinate synthase, erythroid-specific, mitochondrial","P22557","ALAS2","Unknown","HMDB0000123"
"5-aminolevulinate synthase, nonspecific, mitochondrial","P13196","ALAS1","Unknown","HMDB0000123"
"5-phosphohydroxy-L-lysine phospho-lyase","Q8IUZ5","PHYKPL","Enzyme","HMDB0000161"
"60 kDa lysophospholipase","Q86U10","ASPG","Enzyme","HMDB0000168"
"Acetolactate synthase-like protein","A1L0T0","ILVBL","Unknown","HMDB0000167"
"Alanine--glyoxylate aminotransferase 2, mitochondrial","Q9BYV1","AGXT2","Enzyme","HMDB0000161	 HMDB0000123"
"Alanine--tRNA ligase, cytoplasmic","P49588","AARS1","Enzyme","HMDB0000161"
"Alanine--tRNA ligase, mitochondrial","Q5JTZ9","AARS2","Enzyme","HMDB0000161"
"Alanine aminotransferase 1","P24298","GPT","Enzyme","HMDB0000161"
"Alanine aminotransferase 2","Q8TD30","GPT2","Enzyme","HMDB0000161"
"Alpha-aminoadipic semialdehyde synthase, mitochondrial","Q9UDR5","AASS","Unknown","HMDB0000182"
"Amidophosphoribosyltransferase","Q06203","PPAT","Unknown","HMDB0000641"
"Aminoadipate-semialdehyde synthase","A4D0W4","AASS","Enzyme","HMDB0000182"
"Aminomethyltransferase, mitochondrial","P48728","AMT","Enzyme","HMDB0000123"
"Aminopeptidase N","P15144","ANPEP","Unknown","HMDB0000123"
"Arginase-1","P05089","ARG1","Unknown","HMDB0000517"
"Arginase-2, mitochondrial","P78540","ARG2","Unknown","HMDB0000517"
"Arginine--tRNA ligase, cytoplasmic","P54136","RARS1","Enzyme","HMDB0000517"
"Arginine decarboxylase","Q96A70","AZIN2","Enzyme","HMDB0000517"
"Argininosuccinate lyase","P04424","ASL","Enzyme","HMDB0000517"
"Argininosuccinate synthase","P00966","ASS1","Enzyme","HMDB0000517"
"Aromatic-L-amino-acid decarboxylase","P20711","DDC","Enzyme","HMDB0000177	 HMDB0000158"
