"Name","UniProt ID","Primary Gene Name","Type","Primary metCode"
"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial","O75600","GCAT","Enzyme","HMDB0000123"
"5-aminolevulinate synthase, erythroid-specific, mitochondrial","P22557","ALAS2","Unknown","HMDB0000123"
"5-aminolevulinate synthase, nonspecific, mitochondrial","P13196","ALAS1","Unknown","HMDB0000123"
"Acetolactate synthase-like protein","A1L0T0","ILVBL","Unknown","HMDB0000167"
"Acetylcholinesterase","P22303","ACHE","Enzyme","HMDB0000097"
"Alanine--glyoxylate aminotransferase 2, mitochondrial","Q9BYV1","AGXT2","Enzyme","HMDB0000123"
"Alcohol dehydrogenase 1A","P07327","ADH1A","Unknown","HMDB0000097"
"Alcohol dehydrogenase 1B","P00325","ADH1B","Unknown","HMDB0000097"
"Alcohol dehydrogenase 1C","P00326","ADH1C","Unknown","HMDB0000097"
"Alcohol dehydrogenase 6","P28332","ADH6","Unknown","HMDB0000097"
"Alcohol dehydrogenase class-3","P11766","ADH5","Unknown","HMDB0000097"
"Alcohol dehydrogenase class 4 mu/sigma chain","P40394","ADH7","Unknown","HMDB0000097"
"Alpha-aminoadipic semialdehyde dehydrogenase","P49419","ALDH7A1","Unknown","HMDB0000043"
"Aminomethyltransferase, mitochondrial","P48728","AMT","Enzyme","HMDB0000123"
"Aminopeptidase N","P15144","ANPEP","Unknown","HMDB0000123"
"Betaine--homocysteine S-methyltransferase 1","Q93088","BHMT","Unknown","HMDB0000043	 HMDB0000092"
"Bile acid-CoA:amino acid N-acyltransferase","Q14032","BAAT","Enzyme","HMDB0000123"
"Choline-phosphate cytidylyltransferase A","P49585","PCYT1A","Enzyme","HMDB0000097"
"Choline-phosphate cytidylyltransferase B","Q9Y5K3","PCYT1B","Enzyme","HMDB0000097"
"Choline dehydrogenase, mitochondrial","Q8NE62","CHDH","Unknown","HMDB0000043	 HMDB0000097"
"Choline kinase alpha","P35790","CHKA","Enzyme","HMDB0000097"
"Choline O-acetyltransferase","P28329","CHAT","Enzyme","HMDB0000097"
"Choline transporter-like protein 1","Q8WWI5","SLC44A1","Transporter","HMDB0000097"
"Choline transporter-like protein 2","Q8IWA5","SLC44A2","Transporter","HMDB0000097"
"Choline transporter-like protein 3","Q8N4M1","SLC44A3","Transporter","HMDB0000097"
"Choline transporter-like protein 4","Q53GD3","SLC44A4","Transporter","HMDB0000097"
"Choline/ethanolamine kinase","Q9Y259","CHKB","Enzyme","HMDB0000097"
"Choline/ethanolaminephosphotransferase 1","Q9Y6K0","CEPT1","Unknown","HMDB0000097"
"Cholinesterase","P06276","BCHE","Enzyme","HMDB0000097"
"Creatine kinase B-type","P12277","CKB","Enzyme","HMDB0000064"
"Creatine kinase M-type","P06732","CKM","Enzyme","HMDB0000064"
"Creatine kinase S-type, mitochondrial","P17540","CKMT2","Enzyme","HMDB0000064"
"Creatine kinase U-type, mitochondrial","P12532","CKMT1A","Enzyme","HMDB0000064"
"Cytosol aminopeptidase","P28838","LAP3","Unknown","HMDB0000123"
"D-amino-acid oxidase","P14920","DAO","Unknown","HMDB0000123"
"Dimethylglycine dehydrogenase, mitochondrial","Q9UI17","DMGDH","Unknown","HMDB0000092"
"DNA-binding protein inhibitor ID-3","Q02535","ID3","Unknown","HMDB0000064"
"Glutamate [NMDA] receptor subunit 3B","O60391","GRIN3B","Unknown","HMDB0000123"
"Glutamate [NMDA] receptor subunit epsilon-1","Q12879","GRIN2A","Unknown","HMDB0000123"
"Glutamate [NMDA] receptor subunit epsilon-3","Q14957","GRIN2C","Unknown","HMDB0000123"
"Glutathione synthetase","P48637","GSS","Enzyme","HMDB0000123"
"Glycerophosphocholine phosphodiesterase GPCPD1","Q9NPB8","GPCPD1","Unknown","HMDB0000097"
"Glycerophosphodiester phosphodiesterase 1","Q9NZC3","GDE1","Unknown","HMDB0000097"
"Glycine--tRNA ligase","P41250","GARS1","Enzyme","HMDB0000123"
"Glycine amidinotransferase, mitochondrial","P50440","GATM","Enzyme","HMDB0000123	 HMDB0000064"
"Glycine cleavage system H protein, mitochondrial","P23434","GCSH","Enzyme","HMDB0000123"
"Glycine dehydrogenase [decarboxylating], mitochondrial","P23378","GLDC","Enzyme","HMDB0000123"
"Glycine N-acyltransferase","Q6IB77","GLYAT","Enzyme","HMDB0000123"
"Glycine N-acyltransferase-like protein 1","Q969I3","GLYATL1","Enzyme","HMDB0000123"
